,Time,Textsubtitle,Texttranslate
419,00:19:13,"I mean, I've never even stolen as much as a paper clip,","ich habe nicht mal
eine Büroklammer geklaut,"
420,00:19:16,and now you're firing me.,
421,00:19:18,"And the best thing about it is that, uh,","Das Beste daran ist,"
422,00:19:20,we're not gonna have to give you any severance pay.,"dass wir dir
keine Abfindung zahlen müssen,"
423,00:19:24,"Because that is gross misconduct, and, uh...",wegen groben Fehlverhaltens.
424,00:19:28,So just clean out your desk. I'm sorry.,
425,00:19:38,[sniffling],
426,00:19:48,"You've been ""Xed,"" punk!","Verarscht, du Lappen!"
427,00:19:51,Surprise! It's a joke!,Überraschung. Das war ein Witz.
428,00:19:53,We were joking around! [laughs] See?,Wir haben nur Spaß gemacht.
429,00:19:55,"Okay, he was in on it.","Ok, er war eingeweiht.
Er war mein Komplize."
430,00:19:57,He was my accomplice. And it was just kind of a morale booster thing.,
431,00:20:01,"And we were showing the new guy around, kind of--","Wir haben dem Neuen
eine Tour durchs Büro gegeben,"
432,00:20:05,kind of giving him the feel of the place.,
433,00:20:07,So you sh--,Von daher…
434,00:20:10,"God, you were-- We totally got you--","-Mein Gott, wir haben dich voll…
-Du bist ein Idiot!"
435,00:20:12,You're a jerk!,
436,00:20:14,"Ah, I don't know about that.",Das sehe ich anders.
437,00:20:31,(Michael) What is the most important thing for a company?,Was ist das Wichtigste in einer Firma?
438,00:20:35,Is it the cash flow? Is it the inventory?,Ist es der Cash-Flow?
439,00:20:39,Nuh-uh.,"Nein, es sind die Menschen,"
440,00:20:41,It's the people.,
441,00:20:43,The people.,die Menschen.
442,00:20:45,My proudest moment here was not when I increased profits by 17%.,"Mein stolzester Moment hier war nicht,"
443,00:20:50,Or when I cut expenses,"oder als ich die Ausgaben gesenkt habe,
ohne Mitarbeiter zu entlassen."
444,00:20:53,without losing a single employee.,
445,00:20:54,"No, no, no, no, no.",Nein.
446,00:20:56,It was a young Guatemalan guy.,Da war ein junger Guatemalteke.
447,00:20:59,"First job in the country, barely spoke English.","Sein erster Job in diesem Land,
sprach kaum Englisch."
448,00:21:02,"Came to me and said,",Er kam zu mir und sagte:
449,00:21:04,"[Spanish accent] ""Mr. Scott,","""Mr. Scott."
450,00:21:07,"would you be the godfather of my child?""","würden Sie der Taufpate
meines Kindes werden?"""
451,00:21:13,Wow. Wow.,
452,00:21:16,Wow.,
453,00:21:21,Didn't work out in the end. We had to let him go. He sucked.,Daraus wurde nichts.
454,00:21:28,[sniffles] Hey.,
455,00:21:31,- Hey. - Hi.,Hallo.
456,00:21:33,- How are you? - Good. I thought you were going out for a drink with--,
457,00:21:36,"Oh, no, no.","Oh, nein."
458,00:21:38,"Just going to, uh...",Ich habe es mir anders überlegt.
459,00:21:40,How's your headache?,Und deine Kopfschmerzen?
460,00:21:42,"- It's better. Thanks. - Good. Good, that's great.","-Besser, danke.
-Gut."
461,00:21:45,"- Is, uh-- - Yeah?","-Ist…
-Ja?"
462,00:21:47,"Um, are you, uh...",Wirst du…
463,00:21:49,Am I walking out? Yes.,"-Ob ich jetzt gehe?
-Willst du… Ja."
464,00:21:52,Yes. Do you wanna?,"-Ja, möchtest du…
-Ja."
465,00:21:53,- Yeah. - Great.,
466,00:21:55,Let me just-- [car horn honks],Lass mich nur schnell…
467,00:21:57,"- Oh, Roy. - Yeah.","-Oh, Roy.
-Ja."
468,00:21:59,"Listen, have a nice weekend. Yeah, definitely. You too.",Hab ein schönes Wochenende.
469,00:22:03,Enjoy it.,Viel Spaß dabei.
470,00:22:07,[door closes],
471,00:22:16,Uh...you know what? Just come here.,
